Standard Mem: 64GB,tshpcnodeprd001,free,Running,16
Standard Mem: 64GB,tshpcnodeprd002,free,Running,16
High Mem: 128GB,tshpcnodeprd003,free,Running,16
High Mem: 128GB,tshpcnodeprd004,free,Running,16
Standard Mem: 64GB,tshpcnodeprd005,free,Running,16
Standard Mem: 64GB,tshpcnodeprd006,free,Running,16
Standard Mem: 64GB,tshpcnodeprd007,free,Running,16
Standard Mem: 64GB,tshpcnodeprd008,free,Running,16
Standard Mem: 64GB,tshpcnodeprd009,free,Running,16
Standard Mem: 64GB,tshpcnodeprd010,free,Running,16
Standard Mem: 64GB,tshpcnodeprd011,free,Running,16
Standard Mem: 64GB,tshpcnodeprd012,free,Running,16
Standard Mem: 64GB,tshpcnodeprd014,free,Running,16
Standard Mem: 64GB,tshpcnodeprd015,down,job-exclusive,Running,16
High Mem: 128GB,tshpcnodeprd016,free,Running,16
High Mem: 128GB,tshpcnodeprd017,free,Running,16
High Mem: 128GB,tshpcnodeprd018,free,Running,16
High Mem: 128GB,tshpcnodeprd020,free,Running,16
Standard Mem: 64GB,tshpcnodeprd024,free,Running,16
Standard Mem: 64GB,tshpcnodeprd025,free,Running,16
Standard Mem: 64GB,tshpcnodeprd026,free,Running,16
Standard Mem: 64GB,tshpcnodeprd027,free,Running,16
Standard Mem: 64GB,tshpcnodeprd029,free,Running,16
Standard Mem: 64GB,tshpcnodeprd030,free,Running,16
Standard Mem: 64GB,tshpcnodeprd013,free,Running,16
High Mem: 128GB,tshpcnodeprd019,free,Running,16
High Mem: 128GB,tshpcnodeprd022,free,Running,16
High Mem: 128GB,tshpcnodeprd023,free,Running,16
